# logU  Z  xi  lnh  NV1240 NIV1486 CIV1548 CIV1551     HeII1640 OIII1661 OIII1666 NIII1750 SiIII1883 SiIII1888 CIII1909 MgII2796 MgII2803 NeIV2424 NeV3426  OII3727 NeIII3869     Hdelta Hgamma OIII4363 HeII4686 Hbeta OIII4959 OIII5007 HeI5876 OI6300 NII6548 Halpha NII6584 SII6717 SII6731 
-1.0 0.001 0.1 1.0 165700.0 500800.0 19420000.0 9295000.0 441300.0 3293000.0 7776000.0 176800.0 1674000.0 1001000.0 25060000.0 381100.0 223000.0 1668.0 6.561 4533000.0 9929000.0        6054000.0 10850000.0 3661000.0 12990.0 22860000.0 41050000.0 123600000.0 2282000.0 16720.0 24970.0 64820000.0 73680.0 73750.0 52690.0
-1.0 0.001 0.1 2.0 161300.0 499400.0 19470000.0 9318000.0 442200.0 3281000.0 7749000.0 176400.0 2191000.0 1312000.0 24810000.0 388400.0 227200.0 1671.0 7.104 4220000.0 9987000.0        6113000.0 10950000.0 3665000.0 13010.0 23090000.0 41330000.0 124400000.0 2499000.0 16910.0 23600.0 65450000.0 69650.0 68610.0 52990.0
-1.0 0.001 0.1 3.0 154200.0 500200.0 19660000.0 9401000.0 444100.0 3281000.0 7748000.0 176600.0 2096000.0 1295000.0 24400000.0 390500.0 228100.0 1696.0 7.183 2907000.0 10070000.0        6174000.0 11070000.0 3688000.0 13080.0 23340000.0 41690000.0 125500000.0 3098000.0 17420.0 18120.0 65890000.0 53480.0 44030.0 51830.0
-1.0 0.001 0.1 4.0 156200.0 505500.0 20180000.0 9640000.0 446700.0 3295000.0 7791000.0 176700.0 1781000.0 1445000.0 23810000.0 394400.0 229900.0 1713.0 6.872 1169000.0 10150000.0        6186000.0 11110000.0 3775000.0 13240.0 23440000.0 41450000.0 124800000.0 3602000.0 17770.0 13340.0 65990000.0 39370.0 12340.0 24520.0
-1.0 0.001 0.3 1.0 164900.0 397300.0 5674000.0 2897000.0 346500.0 2089000.0 5006000.0 123100.0 530900.0 317800.0 12750000.0 156600.0 96840.0 1875.0 7.066 2131000.0 6179000.0        3197000.0 5733000.0 2133000.0 10540.0 12080000.0 21080000.0 63450000.0 1176000.0 9924.0 13150.0 34320000.0 38820.0 49250.0 35200.0
-1.0 0.001 0.3 2.0 160500.0 393900.0 5673000.0 2895000.0 347200.0 2073000.0 4965000.0 122400.0 690800.0 413700.0 12590000.0 159600.0 98600.0 1877.0 7.607 2003000.0 6208000.0        3236000.0 5804000.0 2130000.0 10560.0 12230000.0 21210000.0 63830000.0 1292000.0 10030.0 12570.0 34730000.0 37110.0 45940.0 35470.0
-1.0 0.001 0.3 3.0 153400.0 388500.0 5673000.0 2890000.0 348300.0 2043000.0 4894000.0 121200.0 659300.0 407300.0 12240000.0 160600.0 98910.0 1899.0 7.677 1414000.0 6239000.0        3283000.0 5891000.0 2123000.0 10610.0 12410000.0 21330000.0 64210000.0 1669000.0 10240.0 9965.0 35110000.0 29410.0 29620.0 34800.0
-1.0 0.001 0.3 4.0 155400.0 385200.0 5755000.0 2923000.0 349900.0 2014000.0 4829000.0 119400.0 554200.0 447500.0 11740000.0 161500.0 99250.0 1900.0 7.342 573600.0 6244000.0        3294000.0 5921000.0 2143000.0 10730.0 12490000.0 21060000.0 63390000.0 2036000.0 10370.0 7486.0 35210000.0 22090.0 8310.0 16490.0
-1.0 0.001 0.5 1.0 164100.0 360500.0 2535000.0 1694000.0 289700.0 1392000.0 3373000.0 101100.0 106600.0 63780.0 7086000.0 66560.0 44560.0 2164.0 7.696 1065000.0 4523000.0        2014000.0 3619000.0 1311000.0 9042.0 7626000.0 11530000.0 34700000.0 723200.0 5852.0 8201.0 21760000.0 24200.0 37040.0 26480.0
-1.0 0.001 0.5 2.0 159700.0 357000.0 2531000.0 1685000.0 290200.0 1379000.0 3341000.0 100500.0 142800.0 85440.0 6992000.0 67750.0 45340.0 2166.0 8.236 1005000.0 4542000.0        2039000.0 3664000.0 1307000.0 9057.0 7720000.0 11590000.0 34890000.0 796600.0 5906.0 7873.0 22010000.0 23230.0 34580.0 26690.0
-1.0 0.001 0.5 3.0 152700.0 350400.0 2519000.0 1662000.0 291000.0 1352000.0 3274000.0 98870.0 136100.0 83920.0 6757000.0 67920.0 45270.0 2181.0 8.291 720300.0 4556000.0        2071000.0 3723000.0 1298000.0 9099.0 7846000.0 11640000.0 35040000.0 1060000.0 6002.0 6373.0 22270000.0 18810.0 22330.0 26190.0
-1.0 0.001 0.5 4.0 154800.0 345200.0 2535000.0 1653000.0 292100.0 1322000.0 3203000.0 96580.0 113800.0 91330.0 6427000.0 68070.0 45230.0 2158.0 7.919 294400.0 4547000.0        2080000.0 3746000.0 1301000.0 9207.0 7902000.0 11460000.0 34480000.0 1333000.0 6068.0 4887.0 22350000.0 14420.0 6278.0 12440.0
-1.0 0.002 0.1 1.0 253000.0 289200.0 7383000.0 3633000.0 286400.0 1879000.0 4298000.0 173700.0 1120000.0 678300.0 18480000.0 369600.0 222600.0 7888.0 3775.0 4007000.0 8396000.0        3834000.0 6860000.0 2481000.0 10780.0 14500000.0 36630000.0 110300000.0 1535000.0 19510.0 30920.0 41210000.0 91250.0 88820.0 63340.0
-1.0 0.002 0.1 2.0 246700.0 289200.0 7412000.0 3645000.0 287000.0 1880000.0 4302000.0 174400.0 1587000.0 958100.0 18450000.0 381500.0 229600.0 7909.0 3780.0 3810000.0 8475000.0        3876000.0 6935000.0 2495000.0 10790.0 14660000.0 37020000.0 111400000.0 1663000.0 19740.0 29530.0 41650000.0 87150.0 82830.0 63980.0
-1.0 0.002 0.1 3.0 237300.0 297700.0 7639000.0 3747000.0 288000.0 1935000.0 4428000.0 180400.0 1589000.0 991100.0 18800000.0 391600.0 235400.0 8051.0 3829.0 2917000.0 8671000.0        3917000.0 7011000.0 2570000.0 10810.0 14820000.0 37870000.0 114000000.0 1983000.0 20380.0 24160.0 41900000.0 71290.0 53580.0 63470.0
-1.0 0.002 0.1 4.0 239600.0 309600.0 8055000.0 3941000.0 289300.0 2005000.0 4592000.0 186500.0 1409000.0 1167000.0 19020000.0 405100.0 242900.0 8189.0 3988.0 1373000.0 8854000.0        3924000.0 7035000.0 2699000.0 10860.0 14870000.0 38170000.0 114900000.0 2259000.0 20950.0 19900.0 41880000.0 58720.0 15180.0 30300.0
-1.0 0.002 0.3 1.0 250300.0 223600.0 2221000.0 1217000.0 206300.0 1092000.0 2568000.0 107200.0 328700.0 199800.0 8227000.0 137500.0 86510.0 8667.0 3928.0 1705000.0 4390000.0        1559000.0 2788000.0 1282000.0 8488.0 5884000.0 15620000.0 47030000.0 600900.0 10030.0 14110.0 16690000.0 41630.0 50790.0 36240.0
-1.0 0.002 0.3 2.0 244000.0 221500.0 2219000.0 1216000.0 206600.0 1084000.0 2547000.0 106900.0 451600.0 273400.0 8153000.0 141200.0 88820.0 8683.0 3932.0 1634000.0 4411000.0        1578000.0 2822000.0 1280000.0 8495.0 5954000.0 15730000.0 47330000.0 653000.0 10130.0 13580.0 16890000.0 40070.0 47400.0 36600.0
-1.0 0.002 0.3 3.0 234600.0 221500.0 2236000.0 1221000.0 207100.0 1086000.0 2553000.0 108000.0 445500.0 278500.0 8117000.0 143800.0 90300.0 8787.0 3969.0 1301000.0 4464000.0        1600000.0 2862000.0 1293000.0 8513.0 6040000.0 15940000.0 47970000.0 813500.0 10350.0 11620.0 17050000.0 34300.0 30710.0 36250.0
-1.0 0.002 0.3 4.0 236900.0 224200.0 2304000.0 1252000.0 207700.0 1097000.0 2581000.0 109300.0 389000.0 320800.0 8038000.0 147400.0 92330.0 8804.0 4093.0 622600.0 4513000.0        1605000.0 2876000.0 1333000.0 8546.0 6074000.0 15920000.0 47920000.0 972400.0 10550.0 9864.0 17080000.0 29110.0 8713.0 17340.0
-1.0 0.002 0.5 1.0 247800.0 207800.0 1100000.0 791600.0 163400.0 720400.0 1726000.0 86150.0 67640.0 41050.0 4435000.0 56790.0 38340.0 9694.0 4118.0 867600.0 2986000.0        857900.0 1536000.0 760200.0 7078.0 3240000.0 7874000.0 23700000.0 319500.0 5503.0 8595.0 9206000.0 25360.0 35370.0 25250.0
-1.0 0.002 0.5 2.0 241500.0 205300.0 1098000.0 788200.0 163600.0 712900.0 1707000.0 85650.0 92990.0 56240.0 4383000.0 58230.0 39230.0 9704.0 4121.0 834900.0 2995000.0        868200.0 1554000.0 757600.0 7085.0 3279000.0 7914000.0 23820000.0 348700.0 5551.0 8298.0 9312000.0 24490.0 33020.0 25490.0
-1.0 0.002 0.5 3.0 232300.0 203100.0 1097000.0 781900.0 164000.0 706200.0 1691000.0 85540.0 90860.0 56700.0 4312000.0 58990.0 39610.0 9768.0 4148.0 675200.0 3016000.0        881500.0 1578000.0 758500.0 7101.0 3330000.0 7983000.0 24030000.0 450500.0 5648.0 7259.0 9414000.0 21420.0 21420.0 25220.0
-1.0 0.002 0.5 4.0 234600.0 203500.0 1115000.0 786800.0 164300.0 705500.0 1691000.0 85680.0 78560.0 64270.0 4221000.0 60090.0 40240.0 9645.0 4240.0 318900.0 3035000.0        885000.0 1587000.0 774300.0 7132.0 3352000.0 7938000.0 23890000.0 556800.0 5736.0 6155.0 9440000.0 18160.0 6082.0 12080.0
-1.0 0.004 0.1 1.0 370500.0 150200.0 2550000.0 1399000.0 372900.0 852100.0 1877000.0 138700.0 526300.0 329400.0 10490000.0 309500.0 195000.0 50360.0 22620.0 3848000.0 6157000.0        2380000.0 4252000.0 1387000.0 27730.0 9013000.0 28910000.0 87010000.0 1009000.0 44080.0 49030.0 25790000.0 144700.0 125800.0 89060.0
-1.0 0.004 0.1 2.0 365300.0 152500.0 2573000.0 1409000.0 373100.0 866300.0 1908000.0 141400.0 870000.0 535500.0 10650000.0 310700.0 196000.0 42790.0 21810.0 3749000.0 6276000.0        2402000.0 4291000.0 1414000.0 27700.0 9094000.0 29480000.0 88740000.0 1081000.0 22570.0 47270.0 26010000.0 139500.0 97290.0 75190.0
-1.0 0.004 0.1 3.0 352000.0 165400.0 2743000.0 1485000.0 373700.0 932900.0 2055000.0 152500.0 919000.0 584400.0 11310000.0 326700.0 205400.0 44900.0 22520.0 3147000.0 6577000.0        2423000.0 4330000.0 1512000.0 27600.0 9172000.0 30850000.0 92860000.0 1242000.0 23450.0 40460.0 26070000.0 119400.0 63460.0 75810.0
-1.0 0.004 0.1 4.0 356300.0 182100.0 3029000.0 1621000.0 373600.0 1016000.0 2238000.0 165200.0 865700.0 739100.0 12010000.0 349700.0 218900.0 48900.0 24590.0 1665000.0 6879000.0        2424000.0 4336000.0 1654000.0 27350.0 9185000.0 31800000.0 95700000.0 1377000.0 24550.0 36000.0 25940000.0 106200.0 18290.0 36690.0
-1.0 0.004 0.3 1.0 364700.0 123200.0 941100.0 619400.0 237800.0 457700.0 1055000.0 73820.0 134500.0 86040.0 3941000.0 104100.0 69100.0 53760.0 23540.0 1348000.0 2678000.0        712300.0 1268000.0 638900.0 19660.0 2681000.0 10090000.0 30360000.0 287200.0 9832.0 17320.0 7613000.0 51120.0 49280.0 35090.0
-1.0 0.004 0.3 2.0 359800.0 122300.0 939300.0 618100.0 238100.0 456000.0 1051000.0 73970.0 215000.0 134200.0 3929000.0 106400.0 70600.0 48510.0 22990.0 1321000.0 2701000.0        719700.0 1281000.0 640200.0 19660.0 2709000.0 10170000.0 30620000.0 308600.0 9932.0 16830.0 7691000.0 49680.0 46020.0 35540.0
